E1: 	bien / entonces <ruido_fondo>roce constante con la mesa</ruido_fondo> estamos aquí en / en la maestría / ehh   hoy es cuatro / cinco de<alargamiento/>
E1: 	¿y aquí en Caracas a quién tiene así de<alargamiento/> / de hermanos? /
I: 	ehh  tengo<alargamiento/> / mmm dos<alargamiento/> / / dos hermanas aquí en / Caracas  / se puede / se puede decir que aquí en Caracas / / sí / porque los demás todos están como dicen / fuera / unos <sic>vive</sic> en<alargamiento/> / / está una en Guatire /
E1: 	ajá /
I: 	que ya ella tiene cinco hijos / / este<alargamiento/> / / tengo una que vive en Trujillo / ella tiene tres / la que vive aquí en Caracas / tiene tres hijos / /
E1: 	uhu / /
I: 	que por cierto en estos días / / cumple años / / la niña / de ella /
E1: 	<simultáneo> ¿la menor? </simultáneo> / / / 
I: 	no<alargamiento/> el niño de ella / o creo que ya cumplió / eso fue ahorita / / ¿hoy estamos a qué? /
E2: 	a cinco /
I: 	¿de qué? / ¿de noviembre? /
E1: 	<simultáneo> sí de noviembre </simultáneo> /
E2: 	<simultáneo> sí de noviembre </simultáneo> /
I: 	no / ahorita el diecinueve de noviembre cumple años / / uno de los sobrinos / / <ruido = “golpe”> y<alargamiento/> / / mi otra hermana / / ¿dónde es que vive? / <risas=”E1”/> ya se me olvidó / <risas=”E1”/> es que son tantos
E1: 	<simultáneo> ya veo </simultáneo> /
I: 	que de verdad que / está en / en / en / <ruido = “golpe”> / / ay  por allá por / por Cúa /
E1: 	ajá / ajá /
I: 	están en Cúa / allá tengo varios hermanos también / ellos sí / sí viven casi toditos juntos /
E1: 	ya / /
I: 	y bueno cada quien como dicen con su familia / tienen dos / tienen tres muchachos / una tiene uno y así /
E1: 	ya /
I: 	pero sí todos nos / an <palabra_cortada/> / de vez en cuando nos  reunimos / no siempre / / porque<alargamiento/> ellos sí<alargamiento/> están más distantes / en cambio en diciembre me reúno más con<alargamiento/> / / con la familia de mi esposo /
E1: 	a ver cuéntanos de esas reuniones / ¿cómo son? /
I: 	<simultáneo> exacto / todo es distinto </simultáneo> /
E1: 	¿hacen hallacas / hacen? /
I: 	yo preparo mis hallacas / adorno<alargamiento/> porque en realidad donde yo estoy viviendo ahorita / no es una casa  / casa /
E1: 	no /
I: 	porque<alargamiento/> <ruido = “golpe”> mi esposo y yo nos fuimos a / a<alargamiento/> a trabahar como conserjes en un colegio / y ya tenemos cinco años ahí /
E1: 	¡ah pero qué bien!  /
I: 	sí / entonces bueno tenemos una pieza / como dicen una / una pequeña casita pues ahí /
E1: 	<simultáneo>  aha </simultáneo> /
I: 	dispensada para nosotros / entonces ahí estoy viviendo con mis dos hijos / y mi esposo / /
E1: 	usted  es de las Acacias ¿verdad? dijo usted /
I: 	sí /
E1: 	mmm /
I: 	ahorita / estamos viviendo ahí / / este<alargamiento/> / / y bueno en diciembre eso es <ruido = “golpe”> como dice parranda <ruido = “golpe”> pues /
E1: 	¿y lo hacen ahí mismo en casa de ustedes?
I: 	<simultáneo> ahí mismo </simultáneo> / sí / ahí nos reunimos casi toda la familia de él / por parte<alargamiento/> mía <ruido = “golpe”> ha sido muy poca /
E1: 	ya / <tiempo=“05:00”/>
I: 	que<alargamiento/> / algunas veces viene mi tía / con<alargamiento/> con sus hijos / /ehh otro tío mío / y<alargamiento/> / / y algunos primos / / y mi hermana que bueno de verdad / mi hermana sí es verdad que no ha podido<alargamiento/> ir para la casa / yo más bien voy a visitarlos / aunque tengo <ruido = “golpe”> como<alargamiento/> tres cuatro meses que no voy a verlos / / pero sí estamos en contacto por<alargamiento/> / medio del teléfono / <ruido = “golpe”>
E1: 	claro / /
I: 	es que se me hace muy difícil /
E1: 	claro /
I: 	ahorita /
E1: 	claro /
I: 	lo del / primero del trabajo / segundo las obligaciones de mis co <palabra_cortada/> ¿sabes? / de mis quehaceres / mis cosas en la casa /
E1: 	uhu / <ruido = “golpe”>
I: 	entonces no me da chance de<alargamiento/> / ir los domingos / o los sábados / que podría<alargamiento/> ir para la casa a visitarlos <ruido = “golpe”> / / tengo un compromiso con mi hijo / que por cierto ayer cumplió años / ¿ayer fue? / 
E2: 	<simultáneo> no ayer fue cuatro </simultáneo> /
I: 	no antier / antier / él cumplió años / / y<alargamiento/> / / y él está estudiando teatro /
E1: 	mmm / /
I: 	entonces está en el Teresa Carreño / entonces /
E1: 	¡qué bueno! /
I: 	sí / /
E1: 	¿qué edad tiene su hijo? /
I: 	dieciocho / los cumplió / ahorita /
E1: 	¿y desde cuándo él decidió hacer teatro<alargamiento/>? /
I: 	mm /mm / <observación_complementaria = "expresión de negación"/>
E1: 	¿hace poco? /
I: 	no hace poco porque<alargamiento/> <ruido=“golpe”> / / un compañerito de él de clases / bueno de donde él estudiaba<alargamiento/> en el liceo <ruido=“golpe”> / / él<alargamiento/> estudia teatro / entonces mi esposo hizo / le hizo el comentario y eso / / y él llegó y dijo <cita>bueno déjame hablar a ver si<alargamiento/> allá lo aceptan / en la obra en que / la que estamos haciendo / grabando</cita>  / / y sí / sí lo aceptaron / entonces ya tiene dos / tiene tres semanas ya<alargamiento/> / con ellos ahí /
E1: 	¡qué bueno! / ¿y le gusta? /
I: 	le / sí a él le gusta / a él le gusta bastante el teatro / / bueno a mí esposo también le gusta el teatro / lo que pasa es que él no<alargamiento/> no lo ejerció porque tú sabes / no / no hizo / no tuvo como dice / quien lo ayudara / a entrar / así<alargamiento/> / / en función teatral y / por eso no lo hizo / y sus hijas que viven<alargamiento/> una vive en San Fernando y una vive<alargamiento/> en / Maracay / /
E1: 	uhu / /
I: 	que ellas también cuando pequeñas / estudiando / hicieron también teatro / hasta<alargamiento/> <vacilación/>  grabaron un<alargamiento/> /  un video /
E1: 	uhu / /
I: 	<ruido=“golpe”> y bueno / como dicen bueno / eso lo llevan en la <ruido=“golpe”> sangre pues / les gusta el teatro / mi hijo<alargamiento/> ahorita / él esta con Levy Rossell / / <ruido = “golpe”>
E1: 	¿ese quién es? /
E2: 	mmm / /
I: 	este<alargamiento/> <ruido = “golpe”>ehh m mmm ay <ininteligible/> /  
E2: 	<simultáneo> es como un actor que<alargamiento/> </simultáneo> / de Venevisión /
I: 	<simultáneo> sí </simultáneo> / /
E1: 	ya /
I: 	sí / él esta ahorita con él / yehh / y<alargamiento/> la obra que / que están ensayando ahorita se llama La Ciudad del Guiso /
E1: 	ah creo que yo la<alargamiento/> he escuchado
I: 	<simultáneo> ¿ha escuchado? </simultáneo> /
E1: 	sí /
I: 	bueno la van a<alargamiento/> la van a estrenar ahí el dieciocho<alargamiento/> de diciembre en el<alargamiento/> / la Aula Magna /
E1: 	¡qué bien! /
I: 	<simultáneo> va a ser el estreno </simultáneo> /
E1: 	¿y por supuesto qué usted va no? /
I: 	<entre_risas>ay sí /</entre_risas> <risas=”E1”/> imagínese /
E1: 	¿y ha ido a los ensayos / o ¿eso ahí no se puede entrar? /
I: 	<simultáneo> sí / sí he ido a los ensayos </simultáneo> / / 
E1: 	<simultáneo> ah sí / ¿puede entrar? </simultáneo> /
I: 	sí<alargamiento/> / sí<alargamiento/> /
E1: 	¿y qué tal? / ¿cómo? / ¿cómo? /
 I: 	buenísimo / de verdad / se ven todos como dicen / desahogados cada quien haciendo su<alargamiento/> / /su trabajo<alargamiento/> lo que le corresponde a cada quien / la música muy buena / de verdad que sí / todos dic <palabra_cortada/> todos / bueno / todo se dice pues / eso va a ser un gran éxito / y ahorita está una obra que se llama<alargamiento/>  / /<ininteligible/> pero es allí en<alargamiento/> / / en Altamira /
E1: 	ya /
I: 	en<alargamiento/> Don Bosco /
E1: 	ya /
I: 	teatro Don Bosco /
E1: 	¿ahí trabaja él también? /
I: 	sí / / no bueno mí hijo no / / nosotros fuimos a la función / y<alargamiento/> nos permitieron a que vamos otra vez / y entonces bueno / si a<alargamiento/>horita mmm / / la semana que viene vamos otra vez para / la última función que va a ser /
E1: 	¿cuántos hijos tiene usted? /
I: 	dos /
E1: 	dos / y el varón que está haciendo teatro / 
I: 	<simultáneo> dos varones </simultáneo> /
E1: 	ah / ¿son dos varones? /
I: 	sí /
E1: 	y el menor /
I: 	el menor es el que está haciendo<alargamiento/> el teatro /
E1: 	ajá /
I: 	el mayor no / el mayor trabaha en una<alargamiento/> / / en una camioneta de<alargamiento/> pasajeros / /
E1: 	y él es el que tiene la / la / / eh
I: 	la niña /
E1: 	la niña /
I: 	sí / ese es el que tiene mi nieta /
E1: 	¿y cuántos meses tiene la niña o ya es grande? /
I: 	<simultáneo> la niña tiene cinco años </simultáneo> / /
E1: 	¡ah! /¡es grande! /
I: 	sí / pero / o sea ella me dice <cita>abuela / ¿cuándo me vienes a buscar?</cita> /
	<risas=”E1, I”/>
E1: 	¿dónde vive ella? /
I: 	en Santa Teresa /
E1: 	ya / / ¿y la ve con frecuencia o no? /
I: 	eh<alargamiento/> / / más o menos / a veces que paso<alargamiento/> dos fines de semana sin irla a ver / y entonces no yo más que todo me la traigo / está conmigo un fin de semana y<alargamiento/> / está ella conmigo / porque  es ma <palabra_cortada/> la voy es a buscar pues /
E1: 	¿por qué su hijo vive allá no? /
I: 	no / vive es aquí / 
E1: 	<simultáneo> vive aquí </simultáneo> /
I: 	sí /
E1: 	ya /
I: 	no pero él no vive con la mamá de la niña /
E1: 	ya / ya /
E2: 	¿y<alargamiento/>cómo es esa relación con / con su / de usted con sus hijos? /
I: 	um / ¿con mis hijos? /
E2: 	uhu /
I: 	buenísimo / bueno mira mi hijo / me cuenta todo / hasta lo más mínimo que hace / / a veces que se pasa / <risas=”todos”/> <tiempo = “10:00”/>
I: 	<entre_risas>se pasa en contarme las cosas</entre_risas> porque yo <ruido = “golpe”> lo que   hago es <ruido = “golpe”> reírme de<alargamiento/> <ruido = “golpe”> / bueno lo que él me dice pues / pero está bien eso es bueno de que él me diga a mí<alargamiento/> / <cita>mira mamá<alargamiento/> este / hago tal cosa / estoy haciendo esto</cita>  
E2: 	claro  /claro / confianza entre madre e hijo /
I: 	<simultáneo> bastante </simultáneo> / / de los dos /
E1: 	<simultáneo> ¿con los dos? </simultáneo> /
E2: 	<simultáneo> ¿con los dos? </simultáneo> /
I: 	sí / con los dos / los dos son<alargamiento/> / sabes me cuentan sus cosas / más bien al grande le preguntan / <cita>y tú todo lo que tú <vacilación/> haces</cita> / o sea / dependiendo lo que él haga no / / este<alargamiento/> <cita>¿tú le dices a tu mamá?</cita> y él les dice <cita>claro yo le digo a mí mamá</cita> / hasta<alargamiento/> como me trata también / / que él me trata a mí de tú a tú él no me trata así<alargamiento/> <cita>mira mami</cita> / así a veces me dice mami o me dice mamá pero / / él más bien me trata de tú a tú /
E1: 	¿te habla / te / le / le <vacilación/> la llama por su nombre? /
I: 	sí algunas veces / / algunas veces me dice / <cita>¿qué paso I?</cita> / <risas=”E1”/>
E2: 	¿y cómo le gusta a usted que la traten / de usted o<alargamiento/> / o de tú?
I: 	<simultáneo> ay no </simultáneo> / a mí me gusta que me traten de tú / a mí no me gusta que me traten de usted / me siento como que si tuviera un / no se un / un viaje de años / 
E2: 	<simultáneo> más años </simultáneo> / / <risas=todos”/>
E1: 	mire señora I yo la voy a tratar de / voy a tratar de tratarla de usted / bueno I este /
I: 	<simultáneo> a ver </simultáneo> /
E1: 	me lla <palabra_cortada/> me  / me que <palabra_cortada/> / me / me dio curiosidad lo que hablaba usted del teatro /ehh /
I: 	ajá /
E1: 	de / de su esposo / que a su e <palabra_cortada/> a su esposo le gusta lo del teatro /
I: 	sí<alargamiento/> /
E1: 	¿pero él<alargamiento/> trabaha en el medio del teatro? /
I: 	no / no / no /
E1: 	<simultáneo> ah no </simultáneo> /
I: 	él ahorita está trabahando<alargamiento/> como le dije de conserje en / el colegio / / y él hace ahí como<alargamiento/> de todo pues / / pinta<alargamiento/> arregla los bombi<alargamiento/>llos /
E1: 	<simultáneo> ya </simultáneo> / /
I: 	arregla los salones / y todas esas cosas / /
E1: 	y él<alargamiento/> / / y ahí / ¿y en ese colegio hace te <palabra_cortada/> ha <palabra_cortada/> / hay teatro? /
I: 	no /
E1: 	no /
I: 	no /
E1: 	¿qué colegio es? /
I: 	ese es / él se llama<alargamiento/> / / este<alargamiento/> Johan <ininteligible/>
E1: 	ya /
I: 	lo que pasa / es que / / él le está prestando servicio al <siglas = [INCE]> ince</siglas> /
E1: 	ajá /
I: 	pa’ que los muchachos se preparen ahí / a estudiar / así como vio ahorita / que pasaron unos muchachos del <siglas = [INCE]>ince</siglas> /
E1: 	ajá /
I: 	bueno / ahí / este<alargamiento/> / / dan ese<alargamiento/> ese espacio pues
E1: 	<simultáneo> ya </simultáneo> /
I: 	para que los muchachos se preparen / 
E1: 	ya / 
I: 	ya ellos de ahí salen graduados /
E1: 	uhu / /
I: 	y comienzan en su empresa /
E1: 	uhu /
I: 	porque<alargamiento/>ellos / como dice / e <palabra_cortada/> / es la empresa pues / que los / que los contrata /
E1: 	uhu /
I: 	a ellos /
E1: 	ya / /
I: 	ellos le / <vacilación/> reciben sueldos / reciben
	sus <extranjero>cestatickets</extranjero> o sea / reciben un pago
E1: 	<simultáneo> uhu </simultáneo> /
I: 	como<alargamiento/> / si estuvieran trabahando /
E1: 	uhu /
I: 	pero ellos se están es / preparando / ellos están estudiando primero /
E1: 	claro /
I: 	pa’ después ir a hacer sus pasantías a la empresa que le corresponda /
E1: 	claro /
I: 	y hay muchas empresas / está la<alargamiento/> sabes / en bancos está<alargamiento/> Provincial / el Mercantil / Banesco / el Banco Venezuela / el<alargamiento/> <extranjero>City<alargamiento/></extranjero>
E1: 	s<extranjero>Bank</extranjero>  </simultáneo> /
I: 	<extranjero>City Bank</extranjero> / este<alargamiento/> en las Empresas Coca-Cola / hay<alargamiento/> este otras empresas / bueno /
E1: 	es decir que ellos salen
I: 	<simultáneo> constructora </simultáneo> / 
E1: 	de ahí seguros con un<alargamiento/> 
I: 	<simultáneo> exacto </simultáneo> /
E1: 	empleo<alargamiento/>
I: 	<simultáneo> sí </simultáneo> /
E1: 	ay / ¿qué bueno no? /
I: 	sí /
I: 	ellos salen de ahí todos / como dice / preparados / ahí los / los enseñan y<alargamiento/>
E1: 	¿y le falta poco a su hijo? /
I: 	bueno sí / no / no le falta bastante porque él está comenzando ahorita /
E1: 	<simultáneo> ya / ya </simultáneo> /
I: 	él comenzó no hace nada /
E1: 	ya / ya / /
I: 	porque él estaba estudiando bachillerato
E1: 	<simultáneo> uhu </simultáneo> /
I: 	él llego hasta cuarto /
E1: 	ya /
I: 	en cuarto bueno / tiene que<alargamiento/> lo que a él le gusta / / perdón / este<alargamiento/>
E1: 	<simultáneo> no se preocupe </simultáneo> /
I: 	¿cómo es que se llama<alargamiento/>? / / cie <palabra_cortada/> este<alargamiento/> ciencia de<alargamiento/> / / ay no me acuerdo ahorita / de verdad estoy<alargamiento/> / estoy ida con lo que a él le gusta / <risas=”E1”/> entonces como ahí<alargamiento/> no lo dan / en<alargamiento/> en el parasistema / entonces se inscribió en el liceo / / para él sacar ese<alargamiento/> /
E1: 	¿y tiene que ver con qué más o menos? / ¿qué le interesa a él? /
I: 	<simultáneo> este<alargamiento/> </simultáneo> / / /
E1: 	¿es algo técnico<alargamiento/>? /
I: 	sí creo que sí / es algo así /
E1: 	<simultáneo> uhu </simultáneo> / /
I: 	de verdad ahorita no me / no <ininteligible/>
E1: 	¿pero con electricidad con algo así no? / /
I: 	sí algo así / co <palabra_cortada/> este<alargamiento/> publicidadehh / no se si es ciencias<alargamiento/> humanidades /
E1: 	ya / / bueno no se preocupe /
I: 	sí algo de eso /
E1: 	ya /
I: 	creo que es / no me acuerdo de verdad / él está<alargamiento/> sacando su / su bachillerato porque él / tiene que entrar / entonces comenzar de cuarto / cuarto y quinto /
E1: 	ya /
I: 	que son los dos que le / que le quedan <ruido=“golpe”> /
E1: 	ya / /
I: 	pero él pasó ya como dicen bueno / / y<alargamiento/> él estudia son los sábados / en parasistema / / sábado <ruido=“golpe”> y domingo <ruido=“golpe”> en el teatro <ruido=“golpe”> / ehh   miércoles <ruido = “golpe”> y<alargamiento/> y jueves <ruido=“golpe”> ta <palabra_cortada/> ehh   martes y miércoles <ruido=“golpe”> también en el teatro / y de lunes a viernes en el <siglas = [INCE]>ince </siglas> /
E1: 	pero tiene una vida<alargamiento/> completa toda la /
I: 	<simultáneo> fuerte </simultáneo> /
E1: 	fuerte toda la semana /
I: 	sí /
E1: 	y usted decía que tenía un compromiso con él que / ¿en qué días es que siempre tiene ese compromiso con él? / 
I: 	eh<alargamiento/> de llevarlo al teatro / los<alargamiento/> martes
E1: 	<simultáneo> uhu </simultáneo> / 
I: 	de siete a<alargamiento/> nueve de la noche / / y los miércoles / / y sábado y domingo <tiempo = “15:00/> es / de ocho de la mañana / hasta las / nueve de la noche /
E1: 	¡todo el día! /
I: 	sí / todo el día /
E1: 	¿y usted lo espera ahí? /
I: 	sí porque este<alargamiento/> / / él está en una parte / / ehh   / / ensayando<alargamiento/> modelaje /
E1: 	uhu /
I: 	porque<alargamiento/> ahí le enseñan eso / también / por de repente<alargamiento/> / lo llaman para hacer un comercio<alargamiento/> / o que tiene que entrar a<alargamiento/> a grabar algo / y entonces le / / le permite que vaya a hacer modelaje /
E1: 	ya /
I: 	o sea él está en modelaje desde las / ocho y media / hasta las doce / y de ahí / desde las dos de la tarde hasta las nueve de la noche / en el teatro / todo eso allá /
E1: 	¿eso es en el Teresa Carreño? /
I: 	uhu /
E1: 	¿y usted se queda todo el día con él ahí? /
I: 	algun <palabra_cortada/> bueno por ejemplo / el<alargamiento/> sábado no fui / el domingo perdón /
E1: 	bien /
I: 	el domingo no fui / me quedé lavando porque le dije <cita>no mijo / toda la semana estoy / de lunes a viernes / de lunes a sábado trabahando</cita> / / disculpa / <cita>todo / de lunes a<alargamiento/> / a<alargamiento/> a sábado trabajo / en la noche me voy pa’ el teatro contigo / te acompaño / y<alargamiento/> entonces / / también te voy a acompañar hoy domingo / no papá tengo / que lavar porque no tengo ropa limpia / <ruido =“golpe”> <risas=”E1”/> 
E1: 	claro /
I: 	le tengo que dedicar algo a la casa <ruido = “golpe”> / y entonces <ruido = “golpe”> voy a hacer mí<alargamiento/> mí broma</cita> / <cita>no está bien mamá / no hay ningún problema</cita> <ruido = “golpe”> <ruido_fondo>E1 tose</ruido_fondo> pero eso sí / <ruido_fondo>E1 tose</ruido_fondo> fui en la tarde / como a las<alargamiento/> cinco de la tarde / ya estaba yendo pa’ el teatro / pa’ irlo a buscar /
E1: 	¿y mientras él está ahí qué hace usted? /
I: 	bueno fui a<alargamiento/>
E1: 	cuando / cuando usted va para allá a acompañarlo / bueno /
I: 	este<alargamiento/> lo espero con / o<alargamiento/> con otras representantes y nos ponemos a conversar como estamos aquí ahorita <risas=”I”/>
E1: 	¿y son sus amigas? /
I: 	sí / me <sic>hices</sic> amigas de ellas /
E1: 	¿pero sólo amigas de ese lugar? /
I: 	<simultáneo> uhu </simultáneo> /
E1: 	¿o salen también de vez en cuando? /
I: 	no / amigas de ahí del lugar nada más /
E1: 	<simultáneo> uhu </simultáneo> /
I: 	porque<alargamiento/> las conocí ahí<alargamiento/> en el teatro /
E1: 	um / ya /
I: 	entonces nos ponemos a conversar un rato / de todo también / qué es lo que / hacemos / qué no hacemos / y<alargamiento/> cómo vamos a hace<alargamiento/>r / muchas cosas /
E2: 	pero ya / 
E1: 	¿y sigue funcionando el café<alargamiento/> que / que / que estaba abajo / ahí en el Teresa Carreño? /
I: 	sí / ¿en el estacionamiento? / sí /
E1: 	sí / en el estacionamiento /
I: 	<simultáneo> sí / uhu / sí </simultáneo> /
E1: 	ya /
I: 	ahí sigue funcionando / uy eso se llena <extranjero>full</extranjero> /
E1: 	sí /
I: 	y ahí cerquita / es donde los muchachos ensayan /
E1: 	ah es decir que ustedes se sientan en ese café a hablar /
I: 	<simultáneo> exacto / ahí en esa mesa ahí<alargamiento/> entonces </simultáneo> /
E2: 	<simultáneo> esperando que pase el tiempo </simultáneo> /
I: 	exacto / / sí<alargamiento/> / ahí pasamos toda la tarde / /
E1: 	a ver y retomando de nuevo un poquito lo de las hallacas y todo esto de diciembre / 
I: 	<simultáneo> uhu </simultáneo> / 
E1: 	que / que ya se acerca diciembre /
I: 	<simultáneo> ay sí </simultáneo> / /
E1: 	¿cómo van esos preparativos para este año? /
I: 	bueno / están así un poquito como que<alargamiento/> hay o no hay / <risas=”E1”/>
E1: 	como todo ¿no? /
I: 	exacto / pero sí / sí yo creo que sí<alargamiento/> / este año también va a haber aunque sea un poquito porque eso es algo tradicional en / en las casas pues /
E1: 	<simultáneo> claro </simultáneo> / / 
I: 	eh / tú sabes / en las familias venezolanas que / que uno hace sus hallacas y se reúne con su familia y / / <ruido = “golpe”> nosotros nos reunimos más que todo son los veinticuatro / treinta y uno cada que en su casa porque bueno /
E1: 	<simultáneo> uhu </simultáneo> / /
I: 	cada quien tiene que recibir el año con /
E1: 	<simultáneo> uhu </simultáneo> / /
I: 	con sus otras personas / / y<alargamiento/> / ese treinta y uno pa’ mi<alargamiento/> / / como estamos nada más que nosotros / nosotros tres / porque mi hijo el mayor se va<alargamiento/> con sus amigos /
E1: 	uhu /
I: 	él casi no lo recibe conmigo /
E1: 	uhu / /
I: 	entonces yo llego y me acuesto a dormir / / <risas=”E1 / I”/>
E1: 	¿pero no espera hasta las doce por lo menos? /
I: 	sí / bueno espero las doce / tengo que dar el feliz año / voy pa’ casa de los vecinos y después entonces / ¿qué hacemos? / / <ruido = “golpe”> ¿nosotros? /
E1: 	<simultáneo> claro </simultáneo> / /
I: 	nada / bueno acostarnos a dormir / porque mi esposo ¡se prende! / ¡ay! / <risas=”E2”/>
E1: 	¿es tomador? /
I: 	ay sí / sí /
E1: 	¿y rumbero? /
I: 	sí /
E2: 	¿y<alargamiento/> aco <palabra_cortada/> / usted acostumbra<alargamiento/> a<alargamiento/> adornar su casa? / o sea ¿poner pese<alargamiento/>bre? / ¿no? /
I: 	<simultáneo> no / no pongo pesebre </simultáneo> /
E2: 	adornar / <ininteligible/> /
I: 	<simultáneo> a mí me encanta / sí </simultáneo> / a mí me encanta la navidad / demasiado / hasta me gusta<alargamiento/> sabes / el <extranjero>hobbie</extranjero> mío es regalar / / yo me la paso regalando / /
	<risas=”E1”/> sabes yo regalo y<alargamiento/> / no<alargamiento/> / no para recibir /
E1: 	ya /
I: 	pero<alargamiento/> / sí<alargamiento/> por ejemplo<alargamiento/> por de <palabra_cortada/> por decir / a D /
E1: 	uhu /
I: 	que yo<alargamiento/> tengo<alargamiento/> / muy poco tiempo con <palabra_cortada/> bueno el tiempo que tengo ahí conociéndola /
E1: 	uhu / /
I: 	yo le regalé el año pasado / este año también le regalo / y por decir / bueno si estoy el año que viene y / de repente la confianza sigue y le / me provocó y le regalo otra cosa /
E1: 	ya /
I: 	y en esos tres años ella a mí no me ha dado nada / eso no me importa /
E1: 	ya /
I: 	pero ella debería decir <cita>cónchale la señora I me ha dado algo
E1: 	uhu /
I: 	todos estos años / y yo ni siquiera un caramelo le he dado a ella</cita> /
E1: 	uhu /
I: 	¿sabes? / pero no / sabes / no yo no regalo para que me regalen /
E1: 	claro /
I: 	¿ves? / / pero como dice / la gente / siempre hay / una intención pues /
E1: 	uhu / /
I: 	ahora / las personas verán si / este / de verdad aprecian lo que uno le regala / lo que uno<alargamiento/> siente por la persona / yo soy muy abierta / / de verdad yo soy como dicen muy<alargamiento/> <sic>confiansuda</sic>
E1: 	um / ¿cómo es eso? /
I: 	bueno que yo<alargamiento/> e <palabra_cortada/> no / no me gusta tratar 
	<tiempo = “20:00/> a las personas de / de tú /
E1: 	ya /
I: 	son muy pocas /
E1: 	ya /
I: 	las personas que yo las trato de tú / / dependiendo de /
E1: 	¿de usted o de tú? /
I: 	sí /
E1: 	ya /
I: 	exacto de usted /
E1: 	ajá /
I: 	yo las trato es de tú /
E1: 	ya /
I: 	que no me gusta tampoco / como le dije / a mí no me gusta que me estén tratando de usted /
E1: 	ya /
I: 	<cita>ay señora I</cita> / no ese señora no / dígame I nada más completo / siempre y cuando como dice bueno / ¿con decirme I no quiere decir que me va a faltar el respeto verdad? /
E1: 	claro / 
E2: 	exacto / /
I: 	entonces cada persona verá cómo<alargamiento/> sabes / cómo lo toma pues /
E1: 	uhu / / <ruido = “golpe”>
I: 	pero yo / ese es el <extranjero>hobbie</extranjero> mío / regalar / yo regalo uy / me provoca regalar yo le regalo a las sobrina / le regalo a mis hermanas / le regalo a mis tías / a mis amigas /
E1: 	¿pero cómo es eso? / usted sale a la calle y ve cosas que le gustan /
I: 	<simultáneo> sí </simultáneo> /
E1: 	y va comprando / /
I: 	sí /
E1: 	¿cómo / cómo? / explíqueme /
I: 	bueno este<alargamiento/>ehh / de repente / / yo por ejemplo / yo más que todo regalo como dice  son cositas así / zarci<alargamiento/>llos <ruido = “golpe”> / que si pulseri<alargamiento/>tas / 
E1: 	uhu / uhu /
I: 	anilli<alargamiento/>tos / entonces bueno /
E2: 	detallitos /
I: 	sí / / yo tengo uno / sabes mi esposo yo no / es mi esposo que tiene las sobrinas / ellas trabahan en una tienda /
E1: 	ajá /
I: 	entonces como ahí venden todo al mayor /
E1: 	<simultáneo> uhu </simultáneo> / /
I: 	¿verdad? / entonces yo voy para allá y / voy y compro<alargamiento/> la mercancía /
E1: 	uhu /
